School,City,Role / job title,Status,Pay / band,Z-sponsor (Yes/No/ask),Mandarin required,Cert required first,Applied date,Last email date,Last email subject,Contact / apply URL,Email watch keywords,Notes,Application ID
Guangzhou Dublin International College (SCAU),Guangzhou,Academic English Tutor,Blocked/Skipped — hard CELTA/Trinity + 2 yrs university EAP wall,¥15–20k band (chinajob),Yes,No,Yes,,,,https://www.chinajob.com/job/job-detail.php?jobid=7qJr0wuoUPRqWnHDL7,scau.edu.cn; janicezqx@scau.edu.cn,Requires CELTA/Trinity TESOL and university EAP experience; CELTA in progress only.,gdic-scau-aet-skip
ST teachers (ESL Cafe multi-city agent),Guangzhou,Language training / kindergarten (Job 12 Guangdong),Skipped — grey recruiting agency (danny1005@qq.com),¥17–25k,Yes,No,No,,,,https://www.eslcafe.com/postajob-detail/13000-30000rmb-esl-and-subject-teacher-needed-15,eslcafe.com,Licensed agency framing but qq.com contact; skip grey agents per criteria.,eslcafe-st-teachers-skip
New Peak Recruitment (GZ training center 1355117397),Guangzhou,Training Center ESL Teacher,Skipped — listing expired + agent (New Peak already on avoid list),¥18k + overtime,Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355117397,echinacities.com; newpeak,Expired New Peak agent listing.,newpeak-1355117397-skip
Fettes College Guangzhou,Guangzhou,Teaching community EOI / EAL,Blocked/Skipped — PGCE/QTS-style teaching qualification wall,ask,Yes,No,Yes,,,,https://en.fettesgz.com/info/1144/1269.htm,fettes.cn; hr@fettes.cn,International school expects recognized teaching qualification (PGCE/BEd); not soft TEFL.,fettes-gz-eoi-skip
Global Education Guangzhou (环球教育),Guangzhou,IELTS/TOEFL teacher,Skipped — Mandarin/bilingual + exam-score wall; not foreign Z ESL path,ask,ask,Yes,Yes,,,,http://guangzhou.gedu.org/contents/6506/203911.html,126.com; global_education@126.com,Listings require TEM-8 / IELTS 7+ bilingual Chinese instructors.,global-edu-gz-skip
Sun Yat-sen University (CFLE),Guangzhou,Full-time ESL Instructor (CFLE; Guangzhou campus preferred),Submitted — awaiting recruiter reply,"~¥9,667/mo pre-tax + yearly bonus (stated)",Yes,No,No,2026-09-15 04:12 CT,,,https://www.sysu.edu.cn/sysuenold/Job/International_Teachers.htm,mail.sysu.edu.cn; zhengyf@mail.sysu.edu.cn; Sun Yat-sen; SYSU; CFLE,Submitted overnight 2026-09-15 via email zhengyf@mail.sysu.edu.cn (Gmail send id 1a0a4578a3459f65). Guangzhou campus preferred; CELTA-in-progress disclosed (TEFL can exempt 2yr adult ESL req); prefer cash housing stipend. Resume TXT follow-up attached (id 1a0a4593ebe3087b). Official university employer. No browserUse/Task this run.,sysu-cfle-gz-2026-09-15
South China University of Technology (GZIC),Guangzhou,Full-Time English Language Teacher (Academic English / GZIC Panyu),Submitted — awaiting recruiter reply,"¥187,300–247,300 / year (stated) + on-campus apt rent",Yes,No,No,2026-09-15 04:12 CT,,,https://www2.scut.edu.cn/gzic_en/2025/0820/c44854a599685/page.psp,scut.edu.cn; ota@scut.edu.cn; SCUT; GZIC,Submitted overnight 2026-09-15 via email ota@scut.edu.cn (Gmail send id 1a0a457c6309d6bf). TEFL preferred not hard wall; CELTA-in-progress + instructor experience disclosed; prefer cash housing stipend if apt rent optional. Resume TXT follow-up attached (id 1a0a45a87403aa08). Official university employer (GZIC).,scut-gzic-2026-09-15
Aston English,Guangzhou,English Teacher (children; Guangzhou-only request),Submitted — awaiting recruiter reply,~¥7–9k band + free housing (national Aston package; confirm GZ),Yes,No,No,2026-09-15 04:12 CT,,,https://recruitforchina.wixsite.com/jobs/teach-at-aston-english,astonschool.com; gparker@astonschool.com; Aston English; Gavin Parker,Submitted overnight 2026-09-15 via email gparker@astonschool.com (Gmail send id 1a0a457ca6af0ae7). Guangzhou-only request; BA any subject; TEFL preferred not required; CELTA-in-progress disclosed; prefer cash housing stipend. Resume TXT follow-up attached (id 1a0a45a845037975). Language-center brand (Aston Educational Group).,aston-gz-2026-09-15
Guangzhou Huali College,Guangzhou,English Instructor (School of Foreign Studies),Blocked/Skipped — Master's degree wall,negotiable + free faculty apt,Yes,No,Yes,,,,https://www.hualixy.edu.cn/rsc/rczp1/rczp,hualixy.edu.cn; lhy8@outlook.com; hr@hualixy.edu.cn,2025 foreign-teacher notice requires Master's+; Michael has BA only.,huali-gz-ma-skip
Jinan University (College of Foreign Studies),Guangzhou,Foreign English Teacher,Blocked/Skipped — Master's degree wall,ask,Yes,No,Yes,,,,https://fc.jnu.edu.cn/2023/0414/c33833a744181/page.htm,jnu.edu.cn; ocfsoffice@jnu.edu.cn,Requires Master's or above.,jnu-cfs-ma-skip
South China Normal University (SFS),Guangzhou,English Language Teacher,Blocked/Skipped — Master's + TESOL certificate wall (deadline also passed),"¥180,000 / year",Yes,No,Yes,,,,https://rsc.scnu.edu.cn/a/20250424/975.html,scnu.edu.cn; wwxy@scnu.edu.cn,Requires Master's + TESOL/TESL; application deadline listed 15 June 2025.,scnu-ma-tesol-skip
WEBi English (Guangzhou),Guangzhou,English Teacher (adult / language center),Submitted — awaiting recruiter reply,ask / language-center band,Yes,No,No,2026-09-15 22:12 CT,,,https://sw.hc23.com/company/377936.html,webi.com.cn; Jordan.zuo@webi.com.cn; WEBi; 韦博,Submitted overnight 2026-09-16 via email Jordan.zuo@webi.com.cn (Gmail send id 1a0a830be3ba8c40). Guangzhou Tianhe language center (Guangsheng Building). CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached. Official WEBi Guangzhou contact listed on company directory.,webi-gz-2026-09-16
Nanfang College Guangzhou,Guangzhou,Foreign English Teacher (College English Education Center),Received — Nanfang HR auto-reply (resume received; wait for screening),ask / ~15–20k band (older listing),Yes,No,No,2026-09-15 22:12 CT,2026-09-15 22:12 CT,AutoReply: Application: Foreign English Teacher — Michael Palmero (US),https://en.nfu.edu.cn/Join_us.htm,nfu.edu.cn; nfrecruit@nfu.edu.cn; Nanfang; Southern College,Submitted overnight 2026-09-16 via email nfrecruit@nfu.edu.cn (Gmail send id 1a0a833548dc58b9). Conghua District campus. BA + work-visa eligible; CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached. Official college employer. Auto-ack 2026-09-16T03:12:20Z from nfrecruit@nfu.edu.cn (thread 1a0a833853f900ed): 简历已收到，请勿重复投递.,nanfang-gz-2026-09-16
Guangdong Teachers College of Foreign Languages and Arts (GTCFLA),Guangzhou,"English Teacher (Longdong campus, Tianhe)",Submitted — awaiting recruiter reply,ask / to be discussed,Yes,No,No,2026-09-15 22:12 CT,,,https://www.gtcfla.edu.cn/English/zcejdh/Job_Opportunities.htm,gtcfla.edu.cn; fao@gtcfla.edu.cn; Joan Liang; GTCFLA,Submitted overnight 2026-09-16 via email fao@gtcfla.edu.cn (Gmail send id 1a0a833521aebfbf). Public college Longdong campus Tianhe. BA any subject; 2+ yrs teaching preferred — instructor experience + CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached. Contact Joan Liang / FAO. Listing start date text is older (2024) but contact page still live.,gtcfla-gz-2026-09-16
CIEO (Canadian International Educational Organization),Guangzhou,Foreign English Teacher (language centers / schools),Received — CIEO auto-reply confirmed email received,ask / language-center band,Yes,No,No,2026-09-16 00:17 CT,2026-09-16 00:15 CT,AutoReply: Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),http://www.cieo.com.cn/en/Employment.asp,cieo.com.cn; CIEO; Canadian International Educational,Submitted overnight 2026-09-16 via email recruitment@cieo.com.cn (Gmail send id 1a0a8a45cd3af567). Official CIEO Employment page contact. ~20 schools in/around Guangzhou. CELTA-in-progress disclosed; Guangzhou-only; prefer cash housing stipend. Resume TXT attached. Language-center / school employer (not grey agent). Auto-ack 2026-09-16T05:15:44Z from recruitment@cieo.com.cn (thread 1a0a8a47ab79bea5).,cieo-gz-2026-09-16
Meten English (Guangzhou),Guangzhou,Foreign English Teacher (adults / language center),Submitted — awaiting recruiter reply,~¥10–13k + ¥2k housing allowance (posted band; negotiable),Yes,No,No,2026-09-16 00:17 CT,2026-09-16 00:17 CT,Application — Meten English Teacher (Guangzhou only) — Michael Palmero (US),https://recruitforchina.wixsite.com/jobs/meten-english,meten.com; Meten; mia_wj,Submitted overnight 2026-09-16 via email mia_wj@meten.com (Gmail send id 1a0a8a4b2cff2b00). Meten-domain recruiter (employer). BA + (TEFL/CELTA OR 2yrs related teaching) soft path — CELTA-in-progress + instructor experience disclosed. Guangzhou-only; prefer cash housing stipend. Resume TXT attached.,meten-gz-2026-09-16
Guangdong Polytechnic of Industry and Commerce (GDGM),Guangzhou,Foreign English Teacher,Submitted — awaiting recruiter reply,ask,Yes,No,No,2026-09-16 00:17 CT,2026-09-16 00:17 CT,Application — Foreign English Teacher — Michael Palmero (US) — Guangzhou,https://www.gdgm.edu.cn/dwjl/,gdgm.edu.cn; gdgmjlc; 126.com; 工贸,Submitted overnight 2026-09-16 via email gdgmjlc@126.com (Gmail send id 1a0a8a4b43cafcc9). Official International Exchange & Cooperation Office contact (对外交流合作部). CELTA-in-progress + instructor experience disclosed; Guangzhou campus; prefer cash housing stipend. Resume TXT attached. Employer college (not agent).,gdgm-gz-2026-09-16
Elite Teach (eChinacities ESL Teacher 1355121677),Guangzhou,ESL Teacher (bilingual school outsourcing),Skipped — grey recruiting agency / foreign-teacher outsourcing agent (Elite Teach),¥19–22k,ask,No,No,,,,https://jobs.echinacities.com/jobchapter/1355121677,echinacities.com; Elite Teach,Updated Sep 16 2026 on eChinacities; recruiter type Agent. Skip per grey-agent rule.,elite-teach-1355121677-skip
Bosen China (GZ middle-school English listing),Guangzhou,International Middle School English Teacher,Skipped — grey agent (Bosen China / Wuhan) + hard PGCE wall,¥24–30k + ¥4k housing,Yes,No,Yes,,,,https://jobs.echinacities.com/jobchapter/1355121419,echinacities.com; Bosen,Agent recruiter; PGCE required. Skip.,bosen-pgce-1355121419-skip
Bosen China (GZ primary teacher listing),Guangzhou,International Primary Teacher,Skipped — grey recruiting agency (Bosen China / Wuhan),¥23–29k + ¥4k housing,Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355121423,echinacities.com; Bosen,Agent recruiter on eChinacities. Skip per grey-agent rule.,bosen-primary-1355121423-skip
Wuhan Oscar Education (IB KNG Liwan listing),Guangzhou,IB Kindergarten Homeroom Teacher,Skipped — grey recruiting agency (Wuhan Oscar Education Technology),¥23–26k after tax incl housing,Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355119875,echinacities.com; Oscar,Agent recruiter. Skip.,oscar-ibkng-1355119875-skip
Guangzhou Huashang College,Guangzhou,International Teacher (subject + English),Blocked/Skipped — Master's degree wall,negotiable,Yes,No,No,,,,https://www.gzhs.edu.cn/info/1007/4537.htm,gzhs.edu.cn; gdhsc.edu.cn; zjy_edu_cn,Official posting requires MA or above. Contact zjy_edu_cn@163.com not used.,huashang-ma-skip
Guangzhou College of Commerce (GCC International College),Guangzhou,Language Teacher,Blocked/Skipped — Master's degree wall (+ TEFL required),negotiable,Yes,No,Yes,,,,https://ic.gcc.edu.cn/tzgg/f8f49e29e4a64f5eb8a037aca167b53c.htm,gzcc.cn; gcc.edu.cn,Requires Master degree or above. eva@gzcc.cn not contacted.,gcc-ma-skip
GDUFS International School (GIS),Guangzhou,High school subject teachers (no ESL opening),Blocked/Skipped — Master's degree wall + no ESL opening,¥250–400k/year pretax,ask,No,Yes,,,,https://gisen.gdufs.edu.cn/Recruitment.htm,gdufs.edu.cn; GIS_GZ,Minimum Master's; openings are subject teachers not ESL. GIS_GZ@163.com not contacted.,gis-gdufs-ma-skip
Shanghai Meiji Culture Communications (GZ training center 1355120125),Guangzhou,Training Center English Teacher,Blocked/Skipped — hard TEFL wall (apostilled cert + docs ready) + agent recruiter,¥15–16k incl apartment,Yes,No,Yes,,,,https://jobs.echinacities.com/jobchapter/1355120125,echinacities.com; Meiji,Related listing to prior Meiji skip; requires docs ready including TEFL with apostille; agent. Skip.,meiji-1355120125-skip
Zhongkai University of Agriculture and Engineering (IELTS training),Guangzhou,English training teacher (IELTS),Blocked/Skipped — English-major Master's + IELTS 7.5 wall; qq.com contact,ask,ask,Yes,Yes,,,,https://ielts.zhku.edu.cn/info/1025/2625.htm,zhku.edu.cn,Requires English-major Master's + IELTS 7.5; contact 2833701908@qq.com. Not foreign Z ESL path.,zhku-ielts-ma-skip
Guangdong University of Finance & Economics (GDUFE),Foshan (shuttle from Guangzhou),Full-time foreign English teacher,Skipped — work location Foshan campus (not Guangzhou-only) + 2024 dated listing + cert preferred,¥10–12.5k by degree,Yes,No,Yes,,,,https://english.gdufe.edu.cn/2024/0419/c1787a190845/page.htm,gdufe.edu.cn,Posting is Foshan campus primary workplace. Skip Guangzhou-only rule.,gdufe-foshan-skip
I Can Read (Guangzhou),Guangzhou,Foreign English Teacher (young learners / literacy centers),Submitted — awaiting recruiter reply,ask / historically competitive + housing allowance,Yes,No,No,2026-09-16 02:24 CT,,,https://www.icanreadasia.cn/join.html,icanread.asia; icanreadasia.cn; teacher.hr.cn@icanread.asia; hr-center@icanreadasia.cn; michelle.stuart@icanread.asia; I Can Read,Overnight ~2:24am CDT 2026-09-16: Gmail apply to teacher.hr.cn@icanread.asia (cc hr-center@icanreadasia.cn) with resume TXT. Official China join page lists Guangzhou among cities and asks resume to those addresses. CELTA in progress disclosed honestly. Prefer cash housing stipend. Gmail message id: 1a0a919cca82b676.,icanread-gz-2026-09-16
Guangdong University of Technology (GDUT),Guangzhou,Foreign English Language Teacher,Submitted — awaiting recruiter reply,ask / university band,Yes,No,No,2026-09-16 02:24 CT,,,https://wsc.gdut.edu.cn/info/1157/2923.htm,gdut.edu.cn; mitchshaw@gdut.edu.cn; GDUT; 广东工业大学,Overnight ~2:24am CDT 2026-09-16: Gmail apply to mitchshaw@gdut.edu.cn (official WSC foreign-language-teacher page; BA + language-teaching training path). CELTA in progress disclosed as training-in-progress. Guangzhou campus only. Prefer cash housing stipend. Gmail message id: 1a0a919cca385192. Note: page originally dated 2021 but still live on official GDUT site.,gdut-fl-gz-2026-09-16
Click China (GZ middle-school ESL listing),Guangzhou,Middle School English Teacher,Skipped — grey recruiting agency (Click China / Wuhan agent),"¥12,500/month",Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355121853,echinacities.com; clickchina,"Live eChinacities Sep 9 update but Recruiter Type: Agent (Click China Cultural Exchange, Wuhan). Skip per no grey agents.",clickchina-1355121853-skip
Guangdong Xin'an Polytechnic,Shenzhen,Foreign English Teacher,Skipped — Shenzhen campus (not Guangzhou-only) + TEFL/TESOL required + qq.com contact,¥15–20k,Yes,No,Yes,,,,https://www.gdxa.edu.cn/info/2332/22551.htm,gdxa.edu.cn,Nanshan Shenzhen location; TEFL/TESOL required; qq contact. Outside GZ-only rule.,xinan-sz-skip
Guangdong University of Finance (GDUF),Guangzhou,Oral English Teacher,Blocked/Skipped — Master's degree wall,¥7.5–12.5k,Yes,No,No,,,,https://wsb.gduf.edu.cn/info/1049/1718.htm,gduf.edu.cn; 70-333@gduf.edu.cn,Longdong Guangzhou campus but requires Master's or above in English-related field. 2023-24 dated posting.,gduf-ma-skip
"Zhujiang College, South China Agricultural University",Guangzhou,Full-time College English Teacher,Blocked/Skipped — hard TEFL/TESOL certificate wall (+ dated 2020 page),¥14–16k,Yes,No,Yes,,,,https://rsc.scauzj.edu.cn/rczp/webinfo/2025/3/1000000000212587.htm,scauzj.edu.cn; zhujiangxueyuan@163.com,Conghua Guangzhou. TESOL/TEFL certificate required before apply. CELTA still in progress.,scauzj-tefl-skip
Guangzhou College of Applied Science and Technology (GZASC),Zhaoqing / Guangzhou dual,Full-time English foreign teacher,Blocked/Skipped — Master's wall + primary contact qq.com + Zhaoqing address,ask,Yes,No,No,,,,https://wentchina.com/recruitment-announcement-for-foreign-english-teachers-at-guangzhou-college-of-applied-science-and-technology/,gzasc.edu.cn,Requires Master's (or TEFL with Master's-style exemptions). Contact 361287949@qq.com. Address listed Zhaoqing Dinghu.,gzasc-ma-qq-skip
English Today Recruitment (multi-city agent board),Guangzhou,Various KG/primary/training posts via agent,Skipped — grey recruiting agency / multi-school outsourcing board,varies,ask,No,No,,,,https://englishrecruitment.com/job-detail/kgenglishprimaryelaviceprincipalibpypvisualartselaenglishteachersrequiredforvariouscitiesinchina-englishtodayrecruitment,englishrecruitment.com,HR@englishrecruitment.com posts anonymous multi-city roles including GZ. Skip per no grey agents.,english-today-agent-skip
Guangzhou Worlda Cultural & Educational Consulting,Guangzhou,Foreign teacher placement / outsourcing,Skipped — grey recruiting / foreign-teacher outsourcing intermediary,ask,ask,No,No,,,,https://www.teachaway.com/schools/guangzhou-worlda-cultural-educational-consulting-service-coltd,worldaedu.com.cn; worlda,Employer-of-record / placement intermediary for schools. No live vacancies on Teach Away. Skip per no outsourcing intermediaries.,worlda-outsource-skip
Hello English (Recruit4China listing),Lianyungang,Young learner ESL,Skipped — Lianyungang not Guangzhou,¥8–10k,Yes,No,No,,,,https://recruitforchina.wixsite.com/jobs/hello-english,recruitforchina.com,Recruit4China Hello English page is Lianyungang Jiangsu only.,hello-english-lyg-skip
New Oriental (XDF) Guangzhou,Guangzhou,Local/bilingual Chinese teacher posts (not foreign Z ESL),Skipped — current GZ hiring is local Chinese teachers; no verified foreign Z-visa ESL opening,local bands,No,Yes,No,,,,http://www.neworiental.org/english/contact/201507/8214181.html,xdf.cn; ehr@xdf.cn,"Official ehr@xdf.cn careers mailbox exists but live GZ Zhaopin posts are Chinese bilingual teachers (TEM-8 / CET walls), not foreign Z ESL.",xdf-local-only-skip
BASIS International School Guangzhou,Guangzhou,ELL Teacher Middle/High School,Blocked/Skipped — applications closed + 2yrs lead-teacher / certified-teacher wall,$55–65k/year,Yes,No,Yes,,,,https://www.teachaway.com/teaching-jobs-abroad/ell-teacher-middle-and-high-school-guangzhou-1,basisinternationalschools.com,Teach Away shows Closed. Requires 2+ years lead classroom teaching; international-school cert path.,basis-ell-closed-skip
Aodu / Graceland English (Guangzhou),Guangzhou,ESL teacher (training center),Skipped — stale Sep 2020 start listing + no public apply email (PM-only on Liepin),¥15–20k + ¥2k housing,ask,No,No,,,,https://www.liepin.com/job/1930470557.shtml,aodu; graceland,Language-center brand fit but no inventable contact email; posting start date Sep 2020.,aodu-graceland-stale-skip
Guangzhou Software College (SEIG),Guangzhou,Full-time English teacher (外教),Skipped — 2022 listing requires already living in China; no apply email on posting,ask,ask,No,No,,,,http://gdsoa.cn/Jobs/Details_28864.html,seig.edu.cn; gzus.edu.cn,"Conghua Guangzhou campus historically. Candidate must live in China now. 2026 SEIG posts are Master's Chinese faculty, mostly Jiangmen for foreign languages.",seig-ft-stale-inchina-skip
Zhuhai College of Science and Technology (ZCST),Zhuhai,English foreign teacher 2025,Skipped — Zhuhai not Guangzhou-only,¥170–260k/year,Yes,No,No,,,,https://iec.zcst.edu.cn/2024/0607/c1785a177166/page.htm,zcst.edu.cn; okiya@zcst.edu.cn,BA path attractive but workplace Zhuhai Jinwan.,zcst-zhuhai-skip
Guangdong Baiyun University,Guangzhou,Foreign English Teacher (oral English / ESL),Submitted — awaiting recruiter reply,ask / ~¥12k+ band (China Connection listing noted ¥12k+; official package TBD),Yes,No,No,2026-09-16 04:08 CT,,,https://en.baiyunu.edu.cn/Academics/College_of_Foreign_Studies/College_of_Foreign_Studies.htm,baiyunu.edu.cn; baiyunuinternational@baiyunu.edu.cn; RSC@baiyunu.edu.cn; Baiyun,"Overnight ~4:07am CDT 2026-09-16: Gmail apply to baiyunuinternational@baiyunu.edu.cn (cc RSC@baiyunu.edu.cn) with resume DOCX. Official international/HR emails. College of Foreign Studies regularly hires foreign teachers. Soft policy path BA + related teaching (Remote Pilot Instructor + CELTA-in-progress disclosed). Prefer cash housing stipend. Gmail message id: 1a0a979c8d6218e4. Note: China Connection agent listing also exists with TEFL wall — applied via university emails, not agent.",baiyun-university-2026-09-16
Guangzhou City University of Technology (GCUT),Guangzhou,University ESL / Oral English Teacher,Submitted — awaiting recruiter reply,¥10–14k + rent-free flat (2023–24 posting),Yes,No,No,2026-09-16 04:11 CT,,,https://jl.gcut.edu.cn/2022/1024/c1117a144173/page.htm,gcu.edu.cn; dep-jl@gcu.edu.cn; international@gcu.edu.cn; GCUT; 广州城市理工,Overnight ~4:07am CDT 2026-09-16: Gmail apply to dep-jl@gcu.edu.cn (cc international@gcu.edu.cn) with resume DOCX. Soft path: BA + (2yrs English teaching OR TEFL/CELTA). CELTA-in-progress + instructor experience disclosed. Prefer cash housing stipend if flat not suitable. Gmail message id: 1a0a97c7abe2c248. Posting dated 2023–24 but contact emails still live on international affairs site.,gcut-esl-2026-09-16
Guangdong Industry Polytechnic University (广东轻工职业技术大学),Guangzhou,Foreign English Teacher (inquiry / apply),Submitted — awaiting recruiter reply,ask,Yes,No,No,2026-09-16 04:11 CT,,,https://jlxy.gdipu.edu.cn/wzwj.htm,gdqy.edu.cn; gdipu.edu.cn; gjzx@gdqy.edu.cn; 轻工,Overnight ~4:07am CDT 2026-09-16: Gmail apply/inquiry to gjzx@gdqy.edu.cn (International Exchange & Cooperation Center; official foreign-teacher management contact). No public fresh ESL vacancy page found this run — open application for current/upcoming openings. CELTA-in-progress disclosed; Guangzhou-only; prefer cash housing stipend. Gmail message id: 1a0a97c7a4d96229.,gdqy-industry-poly-2026-09-16
South China Agricultural University (College of International Education),Guangzhou,Native English Teachers (IELTS Speaking/Writing),Blocked/Skipped — stale 2020 listing + hard 2-year teaching experience wall for language teachers (no TEFL soft path); pay low vs language-center band,¥8.5–9.5k language-teacher band (2020 page),Yes,No,No,,,,https://cie.scau.edu.cn/2020/0402/c5532a223728/page.htm,scau.edu.cn; scaucie@126.com; chenliu@scau.edu.cn; cie@scau.edu.cn,Verified overnight 2026-09-16: page last dated 2020-04-02; requires min 2 years teaching for language teachers. Distinct from Zhujiang College (already TEFL-walled). Did not email.,scau-cie-skip-2026-09-16
Kid Castle Educational Corporation,Guangzhou (claimed expansion; HQ Shanghai),English Teacher,Blocked/Skipped — TEFL required before Z-visa docs; Shanghai HQ focus; no verified Guangzhou-only direct opening this run,ask,Yes,No,Yes,,,,https://ft.kidcastle.com/,kidcastle.org.cn; ft_recruiting@kidcastle.org.cn,Overnight check 2026-09-16: recruitment site requires authenticated TEFL for Z-visa process; primary HQ Shanghai.,kidcastle-skip-2026-09-16
Meriteach Recruitment (Guangzhou primary ESL listing),Guangzhou,ESL Teacher — Primary School,Skipped — grey recruiting agency (Meriteach Recruitment) on TeachingJobChina,¥26k/mo (TeachingJobChina listing),ask,No,No,,,,https://www.teachingjobchina.com/,teachingjobchina.com; Meriteach,Overnight 2026-09-16: listed as Meriteach Recruitment intermediary — skip per grey-agent rule.,meriteach-skip-2026-09-16
eChinacities Guangzhou ESL batch (Yingli / Fangke / DinChance / Yilai / M Consultancy),Guangzhou,Various training-center / school ESL,Skipped — listings expired and/or Agent recruiter type (already on avoid list),various,ask,No,No,,,,https://jobs.echinacities.com/,echinacities.com,"Overnight 2026-09-16 recheck: 1355114471, 1355086739, 1355115959, 1355117733 expired and/or Agent.",echina-agents-skip-2026-09-16-am
